t,seq,size
526434.7490,0,509
526434.7514,1,7
526434.8391,2,509
526434.8407,3,7
526434.9588,4,509
526434.9605,5,7
526434.9889,6,509
526434.9903,7,7
526434.9923,8,509
526434.9934,9,7
526435.1111,10,509
526435.1130,11,7
526435.1131,13,7
526435.1713,16,509
526435.2286,19,7
526435.2295,23,7
526435.2610,24,509
526435.2629,25,7
526435.2659,26,509
526435.2885,27,7
526435.3188,28,509
526435.3238,32,509
526435.3269,33,7
526435.3522,36,509
526435.3788,39,7
526435.3795,41,7
526435.4111,42,509
526435.4129,43,7
526435.4387,44,509
526435.4403,45,7
526435.4422,46,509
526435.4432,47,7
526435.5024,48,509
526435.5041,49,7
526435.5058,50,509
526435.5285,51,7
526435.5324,52,509
526435.5339,53,7
526435.5585,54,509
526435.5601,55,7
526435.5912,56,509
526435.5927,57,7
526447.3213,58,509
526447.3231,59,7
526447.4101,60,509
526447.4118,61,7
526447.4134,62,509
526447.4385,63,7
526447.4412,64,509
526447.4425,65,7
526447.5058,66,509
526447.5074,67,7
526447.6492,68,509
526447.6507,69,7
526447.6525,70,509
526447.6537,71,7
526447.7111,72,509
526447.7128,73,7
526447.7136,74,509
526447.7148,75,7
526447.7390,76,509
526447.7411,77,7
526447.7414,79,7
526447.7420,81,7
526447.7440,82,509
526447.7454,83,7
526447.7706,84,509
526447.7721,85,7
526447.7736,86,509
526447.7749,87,7
526447.8311,88,509
526447.8328,89,7
526447.8337,90,509
526447.8352,91,7
526447.8651,92,509
526447.8885,93,7
526447.9209,94,509
526447.9230,95,7
526447.9245,96,509
526447.9486,97,7
526448.0088,98,509
526448.0101,99,7
526448.0438,100,509
526448.0988,101,7
526448.1076,102,509
526448.1077,103,7
526448.1151,104,509
526448.1162,105,7
526448.1310,106,509
526448.1326,107,7
526448.1892,108,509
526448.2187,109,7
526448.2211,110,509
526448.2229,111,7
526448.2246,112,509
526448.2264,113,7
526448.2283,114,509
526448.2293,115,7
526448.2321,116,509
526448.2332,117,7
526448.3439,118,509
526448.3460,119,7
526448.3991,120,509
526448.4010,121,7
526448.4023,122,509
526448.4041,123,7
526448.4322,124,509
526448.4339,125,7
526448.4357,126,509
526448.4372,127,7
526448.4395,128,509
526448.4584,129,7
526448.4626,130,509
526448.4641,131,7
526448.4923,132,509
526448.4939,133,7
526448.5511,134,509
526448.6086,135,7
526448.6413,136,509
526448.6433,137,7
526448.6988,138,509
526448.7007,139,7
526448.7288,140,509
526448.7306,141,7
526448.7324,142,509
526448.7339,143,7
526448.7587,144,509
526448.7605,145,7
526448.7637,146,509
526448.7651,147,7
526448.7909,148,509
526448.7926,149,7
526448.7936,150,509
526448.7953,151,7
526448.8209,152,509
526448.8225,153,7
526448.8508,154,509
526448.8524,155,7
526448.9691,156,509
526448.9712,157,7
526448.9985,158,509
526449.0002,159,7
526449.0356,160,509
526449.0374,161,7
526449.0624,162,509
526449.0642,163,7
526449.0659,164,509
526449.0671,165,7
